"","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"477","2022","4","7","137","220000","10","220000","30","100","30","84"
"478","2022","3","7","122","200000","10","200000","30","100","30","84"
"479","2022","3","7","122","120000","10","120000","30","100","30","84"
"480","2022","4","7","137","120000","10","120000","40","100","40","85"
"481","2022","4","7","137","65000","10","65000","40","100","40","85"
"482","2022","2","7","117","324000","10","324000","30","100","30","84"
"483","2022","2","7","117","216000","10","216000","30","100","30","84"
"484","2022","4","7","117","210000","10","210000","30","100","30","84"
"485","2022","4","7","137","120000","10","120000","30","100","30","84"
"486","2022","4","7","122","230000","10","230000","30","100","30","84"
"487","2022","1","8","122","100000","10","100000","75","50","75","84"
"488","2022","3","6","122","100000","10","100000","43","100","43","84"
"489","2022","1","5","104","29000","9","31875","76","100","76","84"
"490","2022","4","7","129","200000","10","200000","77","100","77","84"
"491","2022","3","7","144","75000","10","75000","43","100","43","85"
"492","2022","3","7","122","150000","19","35590","36","100","36","83"
"493","2022","4","7","136","100000","17","78791","43","100","43","84"
"494","2022","4","7","122","100000","10","100000","54","100","54","84"
"495","2022","3","7","140","153000","10","153000","30","50","30","84"
"496","2022","1","7","117","52800","9","58035","35","100","35","84"
"497","2022","4","7","122","165000","10","165000","30","100","30","84"
"498","2022","4","7","148","85000","9","93427","33","50","33","83"
"499","2022","1","7","122","66500","17","52396","43","100","43","83"
"500","2022","4","7","137","57000","9","62651","41","100","41","83"
"501","2022","3","7","129","30000","9","32974","78","100","78","85"
"502","2022","1","7","122","40000","10","40000","27","100","27","83"
"503","2022","3","7","137","121000","24","87425","79","100","79","83"
"504","2022","4","7","117","115000","10","115000","30","100","30","84"
"505","2022","1","7","122","120000","24","86703","79","50","79","84"
"506","2022","3","7","104","75000","10","75000","80","100","80","83"
"507","2022","3","7","148","59000","9","64849","44","0","44","83"
"508","2022","1","7","148","120000","10","120000","30","100","30","83"
"509","2022","3","7","103","157000","10","157000","30","100","30","83"
"510","2022","1","7","111","150000","10","150000","79","100","79","85"
"511","2022","3","7","108","90000","17","70912","43","50","43","83"
"512","2022","1","7","117","65000","10","65000","30","100","30","85"
"513","2022","4","7","137","65000","9","71444","81","100","81","85"
"514","2022","1","7","113","20000","10","20000","35","0","35","84"
"515","2022","3","7","122","48000","10","48000","49","100","49","85"
"516","2022","4","7","121","152500","10","152500","30","100","30","84"
"517","2022","3","7","117","62000","9","68147","33","100","33","84"
"518","2022","3","7","122","115000","25","122346","82","0","82","83"
"519","2022","4","7","103","380000","10","380000","30","100","30","83"
"520","2022","3","7","122","88000","17","69336","43","100","43","84"
"521","2022","1","7","110","10000","10","10000","37","100","37","84"
"522","2022","3","7","112","20000","10","20000","39","100","39","85"
"523","2022","4","7","114","405000","10","405000","30","100","30","83"
"524","2022","3","7","122","135000","10","135000","30","100","30","83"
"525","2022","4","7","103","177000","10","177000","30","100","30","83"
"526","2022","3","7","122","78000","10","78000","30","100","30","84"
"527","2022","4","7","112","135000","10","135000","30","100","30","84"
"528","2022","4","7","112","100000","10","100000","30","100","30","84"
"529","2022","4","7","112","90320","10","90320","30","100","30","84"
"530","2022","3","7","112","85000","10","85000","43","0","43","84"
"531","2022","3","7","112","75000","10","75000","43","0","43","84"
"532","2022","4","7","137","214000","10","214000","30","100","30","84"
"533","2022","4","7","137","192600","10","192600","30","100","30","84"
"534","2022","4","7","116","266400","10","266400","30","100","30","84"
"535","2022","4","7","116","213120","10","213120","30","100","30","84"
"536","2022","4","7","112","112900","10","112900","30","100","30","84"
"537","2022","4","7","117","155000","10","155000","30","100","30","84"
"538","2022","3","7","122","141300","10","141300","30","0","30","84"
"539","2022","3","7","122","102100","10","102100","30","0","30","84"
"540","2022","4","7","112","115934","10","115934","30","100","30","84"
"541","2022","4","7","112","81666","10","81666","30","100","30","84"
"542","2022","3","7","117","206699","10","206699","30","0","30","84"
"543","2022","3","7","117","99100","10","99100","30","0","30","84"
"544","2022","4","7","117","130000","10","130000","30","100","30","84"
"545","2022","4","7","117","115000","10","115000","30","100","30","84"
"546","2022","4","7","117","110500","10","110500","30","100","30","84"
"547","2022","4","7","117","130000","10","130000","30","100","30","84"
"548","2022","4","7","112","99050","10","99050","30","100","30","84"
"549","2022","4","7","117","160000","10","160000","30","100","30","84"
"550","2022","4","7","122","205300","10","205300","30","0","30","83"
"551","2022","4","7","122","140400","10","140400","30","0","30","83"
"552","2022","4","7","122","176000","10","176000","30","100","30","84"
"553","2022","4","7","122","144000","10","144000","30","100","30","84"
"554","2022","4","7","117","200100","10","200100","30","100","30","84"
"555","2022","4","7","117","160000","10","160000","30","100","30","84"
"556","2022","4","7","117","145000","10","145000","30","100","30","84"
"557","2022","4","7","117","70500","10","70500","30","0","30","84"
"558","2022","4","7","122","205300","10","205300","30","0","30","84"
"559","2022","4","7","122","140400","10","140400","30","0","30","84"
"560","2022","4","7","102","205300","10","205300","30","0","30","84"
"561","2022","4","7","102","184700","10","184700","30","0","30","84"
"562","2022","4","7","117","175100","10","175100","30","100","30","84"
"563","2022","4","7","117","140250","10","140250","30","100","30","84"
"564","2022","4","7","112","116150","10","116150","30","100","30","84"
"565","2022","4","7","117","54000","10","54000","30","0","30","84"
"566","2022","4","7","112","170000","10","170000","30","100","30","84"
"567","2022","3","7","112","50000","11","65438","28","0","28","84"
"568","2022","4","7","112","80000","10","80000","30","100","30","84"
"569","2022","4","7","122","140000","10","140000","30","100","30","84"
"570","2022","4","7","122","210000","10","210000","30","100","30","84"
"571","2022","4","7","122","140000","10","140000","30","100","30","84"
"572","2022","4","7","112","100000","10","100000","30","100","30","84"
"573","2022","4","7","112","69000","10","69000","30","100","30","84"
"574","2022","4","7","122","210000","10","210000","30","100","30","84"
"575","2022","4","7","122","140000","10","140000","30","100","30","84"
"576","2022","4","7","122","210000","10","210000","30","100","30","84"
"577","2022","4","7","112","150075","10","150075","30","100","30","84"
"578","2022","4","7","117","100000","10","100000","30","100","30","84"
"579","2022","4","7","117","25000","10","25000","30","100","30","84"
"580","2022","4","7","112","126500","10","126500","30","100","30","84"
"581","2022","4","7","112","106260","10","106260","30","100","30","84"
"582","2022","4","7","117","220110","10","220110","30","100","30","84"
"583","2022","4","7","117","160080","10","160080","30","100","30","84"
"584","2022","4","7","112","105000","10","105000","30","100","30","84"
"585","2022","4","7","112","110925","10","110925","30","100","30","84"
"586","2022","3","7","112","35000","11","45807","28","0","28","84"
"587","2022","4","7","122","140000","10","140000","30","100","30","84"
"588","2022","4","7","112","99000","10","99000","30","0","30","84"
"589","2022","4","7","112","60000","10","60000","30","100","30","84"
"590","2022","4","7","116","192564","10","192564","30","100","30","84"
"591","2022","4","7","116","144854","10","144854","30","100","30","84"
"592","2022","4","7","122","230000","10","230000","30","100","30","84"
"593","2022","4","7","122","150000","10","150000","30","100","30","84"
"594","2022","4","7","115","150260","10","150260","30","100","30","84"
"595","2022","4","7","115","109280","10","109280","30","100","30","84"
"596","2022","4","7","122","210000","10","210000","30","100","30","84"
"597","2022","4","7","112","170000","10","170000","30","100","30","84"
"598","2022","3","7","122","160000","10","160000","30","100","30","84"
"599","2022","3","7","122","130000","10","130000","30","100","30","84"
"600","2022","1","7","112","67000","10","67000","43","0","43","84"
"601","2022","1","7","112","52000","10","52000","43","0","43","84"
"602","2022","4","7","117","154000","10","154000","30","100","30","84"
"603","2022","4","7","117","126000","10","126000","30","100","30","84"
"604","2022","4","7","112","129000","10","129000","30","0","30","84"
"605","2022","4","7","112","150000","10","150000","30","100","30","84"
"606","2022","3","7","101","200000","10","200000","34","100","34","83"
